w_1stIn,l_1stIn,w_2ndWon,l_2ndWon,w_bpFaced,w_bpSaved
41,69,21,10,0,0
82,85,15,11,12,10
43,40,15,10,5,4
39,50,23,19,3,1
42,49,22,10,4,2
103,106,20,22,9,4
73,55,23,21,2,2
78,69,22,21,8,5
67,67,19,21,10,7
36,36,16,13,1,1
51,44,19,10,6,5
83,82,36,42,15,10
76,55,20,21,11,9
50,60,21,13,6,6
62,56,11,17,2,2
45,58,19,16,1,0
91,89,39,35,15,10
54,78,25,15,6,4
82,83,26,18,15,12
36,67,40,23,3,2
28,35,6,2,3,2
61,63,23,19,7,7
58,74,15,16,2,2
50,46,15,16,4,3
77,73,19,30,2,0
83,73,19,27,6,3
73,89,29,27,8,4
63,62,13,14,7,6
66,60,31,25,7,4
80,79,12,15,5,3
72,97,21,14,8,6
62,50,10,16,6,5
39,49,18,11,2,2
54,66,21,18,3,1
107,104,26,30,11,5
56,58,19,15,11,11
34,50,19,11,1,1
97,92,32,36,12,7
44,73,25,14,6,4
79,93,36,24,9,8
57,77,38,25,11,6
83,87,22,21,10,6
79,60,28,22,10,6
49,46,24,13,7,4
69,55,24,32,5,2
49,62,20,14,3,1
81,104,37,18,13,12
47,44,23,16,6,4
59,51,16,13,4,2
58,50,17,15,6,5
83,101,25,16,8,5
55,46,21,18,7,6
65,81,17,17,6,3
71,61,27,32,5,2
41,48,21,11,0,0
74,94,46,21,11,8
100,109,25,34,12,6
53,57,19,12,5,4
61,55,13,10,9,8
65,56,19,31,7,3
65,79,16,20,6,2
49,51,17,16,4,4
57,60,13,19,2,1
79,62,24,23,4,2
34,37,27,23,3,2
61,76,25,21,4,2
50,56,18,14,5,3
73,69,22,19,11,6
72,106,23,23,7,3
50,71,26,23,4,4
98,98,29,28,4,1
82,102,44,25,17,16
84,83,21,24,10,8
